2010,22038.098,304.948,7327.587,1011.042,947.705,9641.241,46.17,132.087,3.107759,14.85636,0.7600253,0.0673112,0.043003,172.943
2011,56139,618.514,21836,4019,573,20827,37.2,-496,0.926414,40.15483,1.048447,0.0249036,0.0102068,128
2012,54020,625.658,20605,4595,777,19289,39.12,-982,1.241893,31.50031,1.068225,0.0317457,0.0143836,211
2013,51787,583.637,20966,4409,-239,17191,31.85,-502,-0.4095011,-77.77757,1.219592,-0.0128572,-0.0046151,168
2014,50147,568.517,20671,3918,772,15023,39.58,-342,1.357919,29.14754,1.375957,0.0343082,0.0153947,128
2015,47604,543.8,20225,4604,878,14060,25.16,-1954,1.614564,15.58315,1.438478,0.0641719,0.0184438,126
2016,47017,546.545,19688,5349,626,13399,23.78,-187,1.145377,20.76172,1.469363,0.0481656,0.0133143,222
2017,75611,1069.169,37726,4857,1389,23491,16.68,-663,1.29914,12.83926,1.605977,0.0778861,0.0183703,551
2018,70256,1080.167,36061,5531,-1733,19828,15.15,-1711,-1.604382,-9.442891,1.818691,-0.1058998,-0.0246669,488
2019,64742,1090.058,36452,7258,-5269,13470,13.21,-2490,-4.833688,-2.732903,2.706162,-0.3659113,-0.0813846,1690
2020,59394,1096.921,33621,6634,-1232,11162,9.75,-3458,-1.123144,-8.68099,3.012094,-0.1151942,-0.0207428,406
2010,118534,2776.499,31415,8234,3635,44354,21.97,652,1.309203,16.78121,0.7082788,0.0595905,0.0306663,5984
2011,157818,2705.934,39309,13241,4160,47274,23.71,-4668,1.537362,15.42252,0.8315142,0.0648402,0.0263595,1620
2012,164971,2639.492,40458,16714,6203,49356,37.36,3277,2.350073,15.89738,0.8197179,0.0629035,0.0376005,10951
2013,158813,2606.549,47847,18912,6816,50694,51.965,-4837,2.614952,19.87226,0.9438395,0.0503214,0.0429184,1718
2014,159339,2541.067,48234,17410,8380,52711,58.01,-3879,3.297827,17.59037,0.9150652,0.0568493,0.0525923,3910
2015,166574,2442.398,52621,18178,8163,52269,56.43,-5875,3.342207,16.88405,1.006734,0.0592275,0.0490052,2295
2016,180500,2375.801,61046,21535,8695,53943,69.05,-5174,3.659818,18.86706,1.131676,0.0530024,0.0481717,3301
2017,186949,4644.508,64556,21561,22714,68606,40.05,-5501,4.890507,8.189335,0.9409673,0.12211,0.1214984,3428
2018,251684,4525.962,111743,27603,11731,71613,34.05,-5755,2.591935,13.1369,1.560373,0.0761214,0.04661,3814
2019,263414,4553.034,111989,30292,13057,82726,44.97,-4900,2.867758,15.68124,1.353734,0.0637705,0.0495684,5500
2020,273869,4580.656,113386,28796,10534,90323,52.4,-2055,2.299671,22.78587,1.255339,0.0438868,0.0384636,11740
2010,69206,1894,12704,11000,3963,37519,33.1,1225,2.092397,15.81918,0.3386018,0.0632144,0.0572638,2722
2011,72124,1808,14265,12088,4807,37385,30.16,1669,2.658739,11.34372,0.3815702,0.0881545,0.0666491,3185
2012,74898,1780,14612,12813,5682,39759,52.28,896,3.192135,16.37775,0.3675143,0.0610584,0.0758632,3387
2013,81241,1773,14580,11704,6136,45429,64.49,2405,3.460801,18.63441,0.3209404,0.0536641,0.0755284,3931
2014,84186,1707,15052,13292,7501,44958,89.03,1884,4.394259,20.26053,0.3348014,0.0493571,0.0891003,3421
2015,88182,1661,15128,16334,8382,44525,102.2,424,5.046358,20.25223,0.3397642,0.0493773,0.0950534,4269
2016,92033,1597,18843,16842,9391,43265,92.86,124,5.880401,15.79144,0.4355252,0.0633254,0.1020395,4610
2017,95789,1517,22660,19595,8980,41315,98.57,-3706,5.919578,16.65153,0.5484691,0.0600546,0.0937477,4017
2018,98598,1488,20023,17860,12598,48773,116.94,-1035,8.466398,13.81225,0.4105345,0.0723995,0.1277713,4150
2019,193984,1802,41795,31341,11054,88877,130.32,-3217,6.134295,21.24449,0.4702567,0.047071,0.0569841,5418
2020,201549,1810,60300,26628,-2864,83583,124.08,8623,-1.58232,-78.41648,0.7214386,-0.0127524,-0.0142099,17914
2010,268488,5911.087,64515,33951,19864,111647,29.38,-14000,3.360465,8.742838,0.577848,0.1143793,0.0739847,1437
2011,270344,5926.512,64753,30794,3944,105534,30.24,-7767,0.6654842,45.4406,0.6135747,0.0220068,0.0145888,3185
2012,272315,5581.395,69843,31787,7264,92362,33.71,-9081,1.301467,25.90155,0.7561876,0.0386077,0.026675,4868
2013,277787,5226.316,74767,34995,18249,90988,35.16,-11799,3.491752,10.06944,0.8217238,0.0993104,0.0656942,3339
